Item,Category,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Restaurant,Health_Score
Regular Iced Coffee (Large),Coffee & Tea,270.0,9.0,6.0,35.0,75.0,47.0,0.0,45.0,2.0,McDonald's,0
Caramel Iced Coffee (Small),Coffee & Tea,130.0,4.5,3.0,15.0,35.0,22.0,0.0,21.0,1.0,McDonald's,0
Caramel Iced Coffee (Medium),Coffee & Tea,180.0,7.0,4.5,25.0,50.0,29.0,0.0,28.0,1.0,McDonald's,0
Caramel Iced Coffee (Large),Coffee & Tea,260.0,9.0,6.0,35.0,65.0,43.0,0.0,42.0,2.0,McDonald's,0
Hazelnut Iced Coffee (Small),Coffee & Tea,130.0,4.5,3.0,15.0,35.0,21.0,0.0,20.0,1.0,McDonald's,0
Hazelnut Iced Coffee (Medium),Coffee & Tea,180.0,7.0,4.5,25.0,50.0,29.0,0.0,28.0,1.0,McDonald's,0
Hazelnut Iced Coffee (Large),Coffee & Tea,250.0,9.0,6.0,35.0,75.0,43.0,0.0,41.0,2.0,McDonald's,0
French Vanilla Iced Coffee (Small),Coffee & Tea,120.0,4.5,3.0,15.0,40.0,20.0,0.0,19.0,1.0,McDonald's,0
French Vanilla Iced Coffee (Medium),Coffee & Tea,170.0,7.0,4.5,25.0,55.0,27.0,0.0,26.0,1.0,McDonald's,0
French Vanilla Iced Coffee (Large),Coffee & Tea,240.0,9.0,6.0,35.0,80.0,41.0,0.0,39.0,2.0,McDonald's,0
Iced Coffee with Sugar Free French Vanilla Syrup (Small),Coffee & Tea,80.0,4.5,3.0,15.0,65.0,9.0,0.0,1.0,1.0,McDonald's,0
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),Coffee & Tea,120.0,7.0,4.5,25.0,90.0,12.0,0.0,2.0,1.0,McDonald's,0
Iced Coffee with Sugar Free French Vanilla Syrup (Large),Coffee & Tea,160.0,9.0,6.0,35.0,135.0,18.0,0.0,2.0,2.0,McDonald's,0
Iced Mocha (Small),Coffee & Tea,290.0,11.0,7.0,35.0,125.0,41.0,1.0,34.0,8.0,McDonald's,0
Iced Mocha (Medium),Coffee & Tea,350.0,13.0,8.0,40.0,150.0,50.0,1.0,43.0,9.0,McDonald's,0
Iced Mocha (Large),Coffee & Tea,480.0,16.0,10.0,50.0,220.0,70.0,2.0,62.0,14.0,McDonald's,0
Iced Mocha with Nonfat Milk (Small),Coffee & Tea,240.0,5.0,3.0,20.0,125.0,41.0,1.0,35.0,8.0,McDonald's,0
Iced Mocha with Nonfat Milk (Medium),Coffee & Tea,290.0,5.0,3.5,20.0,150.0,50.0,1.0,43.0,10.0,McDonald's,0
Iced Mocha with Nonfat Milk (Large),Coffee & Tea,390.0,6.0,3.5,25.0,220.0,71.0,2.0,62.0,14.0,McDonald's,0
Iced Caramel Mocha (Small),Coffee & Tea,280.0,11.0,7.0,35.0,140.0,38.0,0.0,33.0,8.0,McDonald's,0
Iced Caramel Mocha (Medium),Coffee & Tea,340.0,13.0,7.0,40.0,170.0,46.0,1.0,41.0,9.0,McDonald's,0
Iced Caramel Mocha (Large),Coffee & Tea,460.0,16.0,10.0,50.0,250.0,65.0,1.0,59.0,13.0,McDonald's,0
Iced Nonfat Caramel Mocha (Small),Coffee & Tea,230.0,5.0,3.0,20.0,140.0,38.0,0.0,33.0,8.0,McDonald's,0
Iced Nonfat Caramel Mocha (Medium),Coffee & Tea,270.0,5.0,3.0,20.0,170.0,47.0,1.0,41.0,10.0,McDonald's,0
Iced Nonfat Caramel Mocha (Large),Coffee & Tea,370.0,6.0,3.5,25.0,250.0,65.0,1.0,59.0,14.0,McDonald's,0
Frappé Mocha (Small),Coffee & Tea,450.0,18.0,12.0,65.0,125.0,65.0,1.0,57.0,7.0,McDonald's,0
Frappé Mocha (Medium),Coffee & Tea,550.0,22.0,14.0,75.0,160.0,80.0,1.0,71.0,9.0,McDonald's,0
Frappé Mocha (Large),Coffee & Tea,670.0,26.0,17.0,90.0,190.0,98.0,1.0,88.0,11.0,McDonald's,0
Frappé Caramel (Small),Coffee & Tea,450.0,19.0,12.0,65.0,125.0,64.0,0.0,57.0,7.0,McDonald's,0
Frappé Caramel (Medium),Coffee & Tea,550.0,23.0,15.0,80.0,160.0,79.0,0.0,71.0,9.0,McDonald's,0
Frappé Caramel (Large),Coffee & Tea,670.0,27.0,17.0,95.0,190.0,96.0,0.0,88.0,11.0,McDonald's,0
Frappé Chocolate Chip (Small),Coffee & Tea,530.0,23.0,14.0,65.0,135.0,76.0,1.0,67.0,8.0,McDonald's,0
Frappé Chocolate Chip (Medium),Coffee & Tea,630.0,26.0,17.0,80.0,160.0,91.0,1.0,81.0,9.0,McDonald's,0
Frappé Chocolate Chip (Large),Coffee & Tea,760.0,31.0,20.0,95.0,200.0,111.0,1.0,99.0,12.0,McDonald's,0
Blueberry Pomegranate Smoothie (Small),Smoothies & Shakes,220.0,0.5,0.0,5.0,40.0,50.0,3.0,44.0,2.0,McDonald's,0
Blueberry Pomegranate Smoothie (Medium),Smoothies & Shakes,260.0,1.0,0.0,5.0,50.0,62.0,4.0,54.0,3.0,McDonald's,0
Blueberry Pomegranate Smoothie (Large),Smoothies & Shakes,340.0,1.0,0.5,5.0,65.0,79.0,5.0,70.0,4.0,McDonald's,0
Strawberry Banana Smoothie (Small),Smoothies & Shakes,210.0,0.5,0.0,5.0,50.0,47.0,3.0,44.0,3.0,McDonald's,0
Strawberry Banana Smoothie (Medium),Smoothies & Shakes,250.0,1.0,0.0,5.0,60.0,58.0,3.0,54.0,4.0,McDonald's,0
Strawberry Banana Smoothie (Large),Smoothies & Shakes,330.0,1.0,0.5,5.0,80.0,74.0,4.0,70.0,5.0,McDonald's,0
Mango Pineapple Smoothie (Small),Smoothies & Shakes,210.0,0.5,0.0,5.0,40.0,50.0,1.0,46.0,2.0,McDonald's,0
Mango Pineapple Smoothie (Medium),Smoothies & Shakes,260.0,1.0,0.0,5.0,45.0,61.0,1.0,56.0,3.0,McDonald's,0
Mango Pineapple Smoothie (Large),Smoothies & Shakes,340.0,1.0,0.5,5.0,60.0,78.0,2.0,72.0,4.0,McDonald's,0
Vanilla Shake (Small),Smoothies & Shakes,530.0,15.0,10.0,60.0,160.0,86.0,0.0,63.0,11.0,McDonald's,0
Vanilla Shake (Medium),Smoothies & Shakes,660.0,19.0,12.0,75.0,200.0,109.0,0.0,81.0,14.0,McDonald's,0
Vanilla Shake (Large),Smoothies & Shakes,820.0,23.0,15.0,90.0,260.0,135.0,0.0,101.0,18.0,McDonald's,0
Strawberry Shake (Small),Smoothies & Shakes,550.0,16.0,10.0,60.0,160.0,90.0,0.0,79.0,12.0,McDonald's,0
Strawberry Shake (Medium),Smoothies & Shakes,690.0,20.0,13.0,75.0,210.0,114.0,0.0,100.0,15.0,McDonald's,0
Strawberry Shake (Large),Smoothies & Shakes,850.0,24.0,15.0,90.0,260.0,140.0,0.0,123.0,18.0,McDonald's,0
Chocolate Shake (Small),Smoothies & Shakes,560.0,16.0,10.0,60.0,240.0,91.0,1.0,77.0,12.0,McDonald's,0
Chocolate Shake (Medium),Smoothies & Shakes,700.0,20.0,12.0,75.0,300.0,114.0,2.0,97.0,15.0,McDonald's,0
Chocolate Shake (Large),Smoothies & Shakes,850.0,23.0,15.0,85.0,380.0,141.0,2.0,120.0,19.0,McDonald's,0
Shamrock Shake (Medium),Smoothies & Shakes,660.0,19.0,12.0,75.0,210.0,109.0,0.0,93.0,14.0,McDonald's,0
Shamrock Shake (Large),Smoothies & Shakes,820.0,23.0,15.0,90.0,260.0,135.0,0.0,115.0,18.0,McDonald's,0
McFlurry with M&M’s Candies (Small),Smoothies & Shakes,650.0,23.0,14.0,50.0,180.0,96.0,1.0,89.0,13.0,McDonald's,0
McFlurry with M&M’s Candies (Medium),Smoothies & Shakes,930.0,33.0,20.0,75.0,260.0,139.0,2.0,128.0,20.0,McDonald's,0
McFlurry with M&M’s Candies (Snack),Smoothies & Shakes,430.0,15.0,10.0,35.0,120.0,64.0,1.0,59.0,9.0,McDonald's,0
McFlurry with Oreo Cookies (Small),Smoothies & Shakes,510.0,17.0,9.0,45.0,280.0,80.0,1.0,64.0,12.0,McDonald's,0
McFlurry with Oreo Cookies (Medium),Smoothies & Shakes,690.0,23.0,12.0,55.0,380.0,106.0,1.0,85.0,15.0,McDonald's,0
McFlurry with Oreo Cookies (Snack),Smoothies & Shakes,340.0,11.0,6.0,30.0,190.0,53.0,1.0,43.0,8.0,McDonald's,0
McFlurry with Reese's Peanut Butter Cups (Medium),Smoothies & Shakes,810.0,32.0,15.0,60.0,400.0,114.0,2.0,103.0,21.0,McDonald's,0
McFlurry with Reese's Peanut Butter Cups (Snack),Smoothies & Shakes,410.0,16.0,8.0,30.0,200.0,57.0,1.0,51.0,10.0,McDonald's,0
Veggie Whopper,Burgers,400.0,20.0,5.0,30.0,600.0,40.0,5.0,6.0,25.0,Burger King,0
